id;idade;sexo;fatoe_i;fator_ii;fato_iii;fator_iv;fator_v;epn_ra;epn_rv;epn_rm;epn_re;epn_rn;epn_eg;gerenc;relac;percep;usofaci;conemo;regemo;experi;etrateg;ie1;ie2;ie;av_des1;av_des2;av_des
a001;46;1;4.1;3.5;7.1;6.1;7.45;72;72;90;80;75;72;36.1995;43.4333;21.395;18.1703;35.385;39.8164;19.7826;37.6007;31.6922;25.6911;28.6917;4.5;3.1;3.8
a002;49;1;4.6;6.2;6.3;5.6;6.85;68;79;76;64;78;63;19.3628;11.37;26.5465;21.2;28.9797;15.3664;23.8732;22.1731;30.2366;15.8098;23.0232;2.2;4.1;3.15
a003;;2;7.5;7.1;3.3;6.9;6.85;82;85;93;88;81;81;49;38.7667;40.4243;26.3013;38.3012;43.8833;33.3628;41.0922;36.024;38.4311;37.2275;4.5;5.1;4.8
a004;38;1;4.1;7;7.8;5;8.05;74;77;104;74;93;80;37.5975;36.3189;33.9069;33.4707;31.6338;36.9582;33.6888;34.296;33.0103;34.9745;33.9924;4.1;2.8;3.45
a005;42;1;4.5;1.3;10;3.5;6.65;79;99;96;80;96;87;50.067;48.0667;40.7936;37.3573;38.3975;49.0668;39.0755;43.7322;43.5209;39.2867;41.4038;2.9;4.6;3.75
a006;36;1;5.3;1.8;6.1;8.4;8.95;78;105;88;88;98;87;42.0105;55.1111;45.565;45.394;47.4083;48.5608;45.4795;47.9846;44.5486;52.3514;47.1495;5;3.8;4.4
a007;31;1;6.6;5.4;7.5;6.5;7.95;94;95;96;107;103;96;49.635;39.8489;48.7804;40.5303;43.6508;44.7419;44.6554;44.1964;45.3319;43.5199;44.4259;3.4;3.5;3.45
a008;52;1;5.9;5.3;7.4;5.8;8.65;79;79;93;65;83;75;22.797;32.5811;42.6177;28.7555;35.4358;27.6891;35.6866;31.5624;35.0846;32.1644;33.6245;3.3;4;3.65
a009;39;1;2.8;4.6;5.9;7.4;7.55;94;117;112;96;83;96;40.558;31.5111;47.7103;41.265;44.4806;36.0346;44.4877;40.2576;43.5934;41.1519;42.3726;5;3.8;4.4
a010;;1;8.2;4.6;4.2;6.3;8.45;109;117;93;84;98;95;49.735;37.4711;45.2827;44.1473;48.9033;43.6031;44.715;46.2532;48.7065;42.2617;45.4841;4;4.5;4.25
a011;49;1;5.7;4.6;7.7;6.8;8.65;73;85;98;74;98;81;37.886;21.9911;32.7679;36.1293;44.0584;29.9386;34.4486;36.9985;35.0699;36.1124;35.6656;3.6;3;3.3
a012;40;1;5.2;5.1;7.8;4.2;8.25;92;89;114;91;96;95;52.31;42.2733;45.5837;48.05;42.6931;47.2917;46.8168;44.9924;47.0099;44.7993;45.9046;4.7;3.8;4.25
a013;35;1;5.7;0.5;9.1;5;9.65;73;79;98;77;96;80;50.961;50.8444;37.4238;38.1657;40.7251;50.9027;37.7947;45.8139;39.703;43.9057;41.8043;3.7;2.7;3.2
a014;;;2.1;3.1;7.2;5.1;6.95;99;117;121;96;103;107;51.75;55.2333;40.4952;46.6197;40.1081;53.4917;43.5574;46.7999;44.6532;45.7041;45.1786;3.8;5;4.4
a015;20;1;6.8;4.2;6.2;6.5;6.25;92;85;90;80;90;84;28.8075;25.2475;41.0221;31.036;39.5052;27.0275;36.029;33.2663;37.7409;31.5545;34.6477;4.9;4.9;4.9
a016;21;2;5.9;2.8;6.9;6.7;7.65;115;99;93;96;83;92;48.433;55.2333;49.8083;49.4573;42.765;51.8332;49.6328;47.2991;46.0265;50.9054;48.466;4.2;4.5;4.35
a017;19;2;4.1;2.3;6.5;6;8.65;87;79;76;70;75;73;46.53;40.6222;30.2927;36.505;37.88;43.5761;33.3989;40.7281;37.6089;36.5181;37.0635;4.9;4.8;4.85
a018;24;2;3.7;7.7;5.5;6.4;8.45;87;82;88;74;98;81;43.8545;36.2333;46.7025;50.72;45.233;40.0439;48.7113;42.6385;46.8135;43.5596;44.9541;4.5;4.7;4.6
a019;24;2;5.2;1.4;7.7;4.8;10.05;82;89;90;91;103;88;43.479;37.54;44.3312;41.5207;30.6382;40.5095;42.926;35.5739;36.7141;41.7858;39.2499;4.5;4.5;4.5
a020;25;2;8.4;0.8;3.3;5.8;7.25;99;95;82;99;98;91;56.845;44.6;45.9287;48.0067;47.715;50.7225;46.9677;49.2188;48.3045;47.882;48.0932;5.1;4.8;4.95
a021;22;1;7.4;3.3;6.2;6.8;8.45;99;105;98;93;96;95;31.3915;42.4778;45.5045;45.77;41.0463;36.9346;45.6373;38.9904;44.3343;40.2934;42.3138;3.2;4.25;3.725
a022;22;1;7.3;1;5;6;7.75;92;95;106;86;93;91;39.286;47.2333;52.6133;34.9233;38.026;43.2597;43.7683;40.6428;39.1081;45.3031;42.2056;5.2;4.88889;5.04444
a023;29;2;5.4;2.3;8.5;4.9;6.95;72;85;82;70;81;72;50.9;29.5444;43.4966;36.4363;38.3908;40.2222;39.9665;39.3065;45.7543;33.5187;39.6365;3.3;4.2;3.75
a024;19;2;5.6;3.5;9.4;3;8.85;82;91;90;102;90;88;50.119;54.5111;48.9467;49.2697;47.4083;52.3151;49.1082;49.8617;49.9925;48.9774;49.4849;4.1;4.7;4.4
a025;25;2;4.3;2.6;4.4;7.1;6.55;74;91;70;86;81;75;51.341;50.8256;47.5936;45.64;50.1383;51.0833;46.6168;50.6108;49.9015;47.3261;48.6138;5.8;5.8;5.8
a026;29;2;7.1;2.8;4.9;5.8;6.75;78;79;85;84;88;77;36.147;11.0033;44.5264;37.575;39.4405;23.5752;41.0507;31.5078;41.0515;31.507;36.2793;5.6;5.5;5.55
a027;18;2;6.1;1.1;5;6.7;9.25;61;72;71;74;81;62;39.737;34.4467;37.1579;42.9433;41.3108;37.0918;40.0506;39.2013;42.8563;36.3957;39.626;2.9;5.2;4.05
a028;20;1;4.8;1.5;8;4.3;6.35;92;105;90;70;86;84;24.3415;28.1667;49.6613;33.965;36.8812;26.2541;41.8132;31.5677;38.32;35.0608;36.6904;1.9;3.7;2.8
a029;22;2;7.3;1.4;6.2;6;7.65;99;91;85;86;90;87;45.2575;36.2033;40.2359;48.3523;40.6112;40.7304;44.2941;40.6708;44.9902;39.9748;42.4825;4;5.6;4.8
a030;26;2;4.8;1.2;4.3;5.5;8.15;92;89;90;91;90;87;46.2715;37.3125;35.0981;;40.0544;41.792;35.0981;40.9232;43.6276;34.3353;38.9815;5.7;4.7;5.2
a031;22;2;4.7;0.6;5.5;5.1;7.95;99;95;106;96;98;97;48.77;42.3;48.8138;37.597;43.845;45.535;43.2054;44.69;44.8092;43.0862;43.9477;4.8;5.2;5
a032;21;1;8.7;2.4;6;7.9;9.25;82;89;106;91;86;88;51.1925;45.2444;42.1625;48.0933;41.2275;48.2185;45.1279;44.723;46.8898;42.9611;44.9255;4.9;3.3;4.1
a033;23;1;7;4;5.5;4.3;5.55;73;74;88;77;71;71;43.816;40.0811;30.2347;31.9573;34.1369;41.9486;31.096;38.0427;37.9902;31.1485;34.5694;3.4;5.9;4.65
a034;26;2;6.6;5.8;4.8;3.3;5.95;68;82;76;70;75;66;43.9765;37.4411;39.8913;;45.3762;40.7088;39.8913;43.0425;39.4077;44.5765;41.9921;5;2.7;3.85
a035;21;1;4.7;0.7;9;3.1;7.05;109;72;112;107;88;93;45.6735;34.0478;46.3562;38.2447;45.5913;39.8606;42.3005;42.726;44.1129;40.9135;42.5132;4.9;3.8;4.35
a036;24;1;3.7;2.2;7.2;5.7;9.25;82;82;104;84;86;85;30.8675;;40.7825;49.1371;47.36;30.8675;44.9598;39.1138;42.0368;;;5.6;3.7;4.65
a037;20;1;6.1;4.8;6.2;4.6;7.25;94;77;85;80;93;81;49.807;49.9889;43.8248;43.1257;44.5333;49.8979;43.4753;47.2156;48.1187;42.5722;45.3454;6;4.7;5.35
a038;;;7.3;0.3;5.6;5.2;5.45;92;77;96;63;88;78;18.181;19.6111;38.9443;39.128;31.4983;18.8961;39.0362;25.1972;35.1507;29.0827;32.1167;3.7;4.2;3.95
a039;26;1;5.8;4.6;5.8;7.7;6.55;92;91;98;102;103;95;40.79;37.8222;46.0453;42.3767;44.171;39.3061;44.211;41.7386;43.3547;42.5949;42.9748;4.625;4.2;4.4125
a040;20;1;5;6.2;6.5;4.7;4.85;71;79;82;60;70;62;33.782;26.6478;33.0046;42.255;34.857;30.2149;37.6298;32.5359;36.2302;33.9355;35.0829;4.7;5;4.85
a041;24;1;7.2;1.7;5.9;6.5;7.95;109;105;90;102;93;95;43.372;31.9533;45.9242;36.3307;40.5795;37.6627;41.1274;39.1211;42.8902;37.3582;40.1242;5;4.1;4.55
a042;35;1;2.7;7.5;4.9;6.5;9.85;78;68;98;70;71;71;27.8095;45.9222;26.7764;34.858;34.4126;36.8659;30.8172;35.6392;32.2058;34.2506;33.2282;2.375;2.7;2.5375
a043;28;1;5.8;2.8;6.7;6.1;8.55;131;91;104;93;86;95;33.827;41.5889;42.0343;24.601;37.7976;37.7079;33.3176;37.7528;35.927;35.1434;35.5352;3.1;5;4.05
a044;30;2;5.3;2;5.2;5.8;8.15;73;77;85;74;83;73;36.313;34.01;42.0777;44.1383;33.3223;35.1615;43.108;34.2419;39.2649;38.085;38.6749;2.9;2.6;2.75
a045;21;2;5.7;6.6;5.6;6.2;5.05;115;122;96;107;111;107;45.642;44.4444;46.4515;43.765;42.7083;45.0432;45.1082;43.8758;44.0547;44.9294;44.492;5.7;5.4;5.55
a046;23;2;8.3;7.8;1;6.5;2.05;82;105;88;80;90;86;45.575;26.67;37.167;;45.2353;36.1225;37.167;40.6789;44.1237;34.8929;39.5083;5.6;5;5.3
a047;21;2;4.7;1.2;3.9;4.6;5.25;87;99;106;80;86;88;47.985;44.8556;35.6476;41.6863;43.3733;46.4203;38.667;44.8968;43.4645;40.0993;41.7819;4.9;4.9;4.9
a048;21;1;4.3;3;7.7;8;8.45;92;95;109;124;106;105;39.3475;42.2667;45.2225;37.1513;43.6821;40.8071;41.1869;42.2446;42.7867;40.6448;41.7157;6;4.625;5.3125
a049;27;1;5.7;3.1;8.4;4.5;7.75;104;89;118;107;98;104;42.97;30.0775;49.9042;39.9463;46.1513;36.5237;44.9253;41.3375;44.9732;41.2896;43.1314;4.5;4.8;4.65
a050;25;2;7.9;1.6;6.8;4.9;9.05;94;95;90;80;96;87;52.245;50.4667;39.4738;49.5437;37.8348;51.3558;44.5088;44.5953;44.1471;44.957;44.552;5.5;5.5;5.5
a051;27;2;4.1;8;6.5;3.6;5.85;92;105;88;77;90;87;;;;;;;;;;;;;;
a052;25;2;6.2;7.4;5.1;5.3;5.65;94;89;90;80;96;87;;;;;;;;;;;;;;
a053;25;1;5.2;7.1;7.4;7.7;5.85;99;99;82;77;96;87;;;;;;;;;;;;;;
a054;20;2;3.9;7.3;5.4;4.6;5.55;109;105;96;91;96;95;;;;;;;;;;;;;;
a055;20;2;4.4;8.5;3.2;5.2;5.55;104;105;93;96;103;96;;;;;;;;;;;;;;
a056;28;1;7.5;2.1;7.8;7;4.85;99;89;109;91;96;95;;;;;;;;;;;;;;
a057;27;2;7;4.7;5.2;6.3;6.55;94;99;96;93;98;93;;;;;;;;;;;;;;
a058;25;1;7.7;2.9;5.1;7.9;6.55;99;95;121;116;111;110;;;;;;;;;;;;;;
a059;25;1;3.9;10.1;6.8;5.2;8.25;73;85;71;74;81;72;;;;;;;;;;;;;;
a060;20;2;7.8;3.7;7.1;6.1;7.25;99;105;96;96;127;101;;;;;;;;;;;;;;
